gene	p_val	avg_logFC	pct.1	pct.2	p_val_adj	anum	num	min	lower_hinge	median	upper_hinge	max	mean	clusterID
C1S	0	1.74308876639501	1	0.339	0	1613	1594	0.693147180559945	2.30258509299405	2.63905732961526	2.94443897916644	3.73766961828337	2.55087662867304	0
C2orf40	7.37977231649194e-40	-0.527640275811634	0.192	0.302	1.47337154298762e-35	1613	240	0.693147180559945	0.693147180559945	0.693147180559945	1.09861228866811	2.19722457733622	0.927561925749974	0
C3	0	1.908918587436	0.97	0.171	0	1613	1544	0.693147180559945	1.6094379124341	2.19722457733622	2.63905732961526	4.35670882668959	2.1563679954168	0
C3AR1	6.19861803190753e-66	-0.278812936079633	0.013	0.147	1.23755409007034e-61	1613	18	0.693147180559945	0.693147180559945	0.693147180559945	0.693147180559945	0.693147180559945	0.693147180559945	0
C5AR1	3.86434781799386e-64	-0.251619132382767	0.01	0.139	7.71517041862474e-60	1613	14	0.693147180559945	0.693147180559945	0.693147180559945	0.693147180559945	0.693147180559945	0.693147180559945	0
C6	6.95615737772012e-260	0.343169072495382	0.289	0.015	1.38879682046182e-255	1613	405	0.693147180559945	0.693147180559945	0.693147180559945	1.09861228866811	2.484906649788	0.86763922557921	0
C7	0	2.46757206518018	0.991	0.261	0	1613	1533	0.693147180559945	2.30258509299405	2.99573227355399	3.43398720448515	4.43081679884331	2.81779008862044	0
CALD1	2.2951096528507e-254	-0.255478777954431	0.882	0.508	4.58218642191642e-250	1613	1431	0.693147180559945	1.09861228866811	1.38629436111989	1.6094379124341	3.8286413964891	1.32288397686204	0
CALM1	6.2936101273906e-93	-0.405283036306162	0.611	0.754	1.25651926193353e-88	1613	1008	0.693147180559945	0.693147180559945	0.693147180559945	1.09861228866811	2.07944154167984	0.968251940944528	0
CALM2	8.12939810167151e-78	-0.32906472341165	0.954	0.89	1.62303433099872e-73	1613	1542	0.693147180559945	1.09861228866811	1.38629436111989	1.79175946922805	2.56494935746154	1.44837221656061	0
CALU	2.82060771794621e-73	0.27050226751709	0.58	0.331	5.63134330887961e-69	1613	974	0.693147180559945	0.693147180559945	1.09861228866811	1.09861228866811	1.94591014905531	0.968092910865092	0
CAP1	2.06944894762955e-59	-0.295316618630116	0.49	0.605	4.1316548239424e-55	1613	801	0.693147180559945	0.693147180559945	0.693147180559945	1.09861228866811	1.94591014905531	0.869831369030586	0
CAPG	2.4295423040223e-40	-0.341903073120006	0.123	0.238	4.85058120998052e-36	1613	216	0.693147180559945	0.693147180559945	0.693147180559945	0.693147180559945	1.38629436111989	0.733899260850331	0
CAV1	2.63002609021245e-121	-0.693553861456117	0.256	0.454	5.25084708910916e-117	1613	415	0.693147180559945	0.693147180559945	0.693147180559945	1.09861228866811	2.07944154167984	0.830504472179188	0
CAV2	6.50296065897057e-55	-0.304399868120419	0.174	0.33	1.29831609556347e-50	1613	293	0.693147180559945	0.693147180559945	0.693147180559945	0.693147180559945	1.6094379124341	0.75653730144206	0
CCDC3	4.19503713148625e-107	-0.507472458944474	0.034	0.257	8.37539163301229e-103	1613	42	0.693147180559945	0.693147180559945	0.693147180559945	0.693147180559945	1.6094379124341	0.782541144574976	0
CCDC71L	1.61882951829228e-151	0.325146537072235	0.292	0.055	3.23199313327053e-147	1613	464	0.693147180559945	0.693147180559945	0.693147180559945	1.09861228866811	2.07944154167984	0.906183407095242	0
CCDC80	0	1.27662817291341	0.881	0.226	0	1613	1374	0.693147180559945	1.09861228866811	1.79175946922805	2.30258509299405	3.95124371858143	1.75253688239198	0
CCL19	2.4561733874451e-41	0.742287523130388	0.202	0.08	4.90375016803414e-37	1613	309	0.693147180559945	0.693147180559945	1.38629436111989	2.77258872223978	5.30330490805908	1.80305557039836	0
CCL2	0	1.51307221665	0.827	0.33	0	1613	1277	0.693147180559945	1.6094379124341	2.39789527279837	3.29583686600433	5.32300997913841	2.44281541897281	0
CCL3	6.86952279552745e-48	-0.930639148503666	0.046	0.165	1.37150022612705e-43	1613	62	0.693147180559945	0.693147180559945	0.693147180559945	0.693147180559945	1.38629436111989	0.750105292452157	0
CCL3L3	3.53711484491053e-43	-0.718178944308953	0.023	0.125	7.06184978786388e-39	1613	27	0.693147180559945	0.693147180559945	0.693147180559945	0.693147180559945	1.09861228866811	0.73819885923863	0
CCL4	4.5571936520414e-64	-0.871300218284227	0.041	0.19	9.09843712630066e-60	1613	50	0.693147180559945	0.693147180559945	0.693147180559945	0.693147180559945	1.6094379124341	0.741554543132954	0
CCL4L2	1.33653339387707e-40	-0.608145932148396	0.023	0.12	2.66838892087557e-36	1613	32	0.693147180559945	0.693147180559945	0.693147180559945	0.693147180559945	0.693147180559945	0.693147180559945	0
CCNL1	1.62643006813888e-120	0.413549241408419	0.674	0.422	3.24716763103927e-116	1613	1091	0.693147180559945	0.693147180559945	1.09861228866811	1.38629436111989	2.94443897916644	1.08684592784806	0
CD14	2.74732277173319e-91	-1.14553792077102	0.11	0.302	5.48502991376531e-87	1613	200	0.693147180559945	0.693147180559945	0.693147180559945	0.693147180559945	2.484906649788	0.809544089408726	0
CD151	2.38161804497127e-70	-0.295286027148634	0.661	0.574	4.75490042678513e-66	1613	1076	0.693147180559945	0.693147180559945	1.09861228866811	1.09861228866811	2.30258509299405	1.02569424305744	0
